location_id,latitude,longitude,period_1_intensity_m,period_2_intensity_m,period_3_intensity_m,period_1_variance,period_2_variance,period_3_variance,hazard_type,unit
EUR_FLOO_000001,35.0,-10.0,1.239,1.461,1.953,0.246,0.26,0.449,flood,meters
EUR_FLOO_000002,35.0,-9.91,1.262,1.508,2.034,0.25,0.243,0.547,flood,meters
EUR_FLOO_000003,35.0,-9.82,1.264,1.486,1.833,0.303,0.338,0.43,flood,meters
EUR_FLOO_000004,35.0,-9.73,1.212,1.446,1.801,0.303,0.295,0.487,flood,meters
EUR_FLOO_000005,35.0,-9.64,1.151,1.35,1.728,0.175,0.307,0.382,flood,meters
EUR_FLOO_000006,35.0,-9.55,1.302,1.582,2.05,0.316,0.308,0.604,flood,meters
EUR_FLOO_000007,35.0,-9.46,1.283,1.481,1.815,0.221,0.306,0.514,flood,meters
EUR_FLOO_000008,35.0,-9.37,1.147,1.359,1.643,0.249,0.21,0.442,flood,meters
EUR_FLOO_000009,35.0,-9.28,1.231,1.431,1.811,0.192,0.248,0.367,flood,meters
EUR_FLOO_000010,35.0,-9.19,1.181,1.452,1.754,0.242,0.321,0.41,flood,meters
EUR_FLOO_000011,35.0,-9.1,1.342,1.558,1.996,0.262,0.369,0.54,flood,meters
EUR_FLOO_000012,35.0,-9.01,1.312,1.515,1.907,0.306,0.312,0.398,flood,meters
EUR_FLOO_000013,35.0,-8.92,1.434,1.735,2.139,0.302,0.356,0.547,flood,meters
EUR_FLOO_000014,35.0,-8.83,1.223,1.466,1.941,0.247,0.365,0.43,flood,meters
EUR_FLOO_000015,35.0,-8.74,1.24,1.473,1.911,0.282,0.241,0.401,flood,meters
EUR_FLOO_000016,35.0,-8.65,1.471,1.733,2.29,0.357,0.32,0.6,flood,meters
EUR_FLOO_000017,35.0,-8.56,1.344,1.619,2.023,0.258,0.356,0.495,flood,meters
EUR_FLOO_000018,35.0,-8.47,1.286,1.529,1.88,0.29,0.278,0.439,flood,meters
EUR_FLOO_000019,35.0,-8.38,1.493,1.849,2.327,0.294,0.38,0.526,flood,meters
EUR_FLOO_000020,35.0,-8.29,1.368,1.689,2.149,0.272,0.354,0.453,flood,meters
EUR_FLOO_000021,35.0,-8.2,1.352,1.587,2.087,0.279,0.322,0.462,flood,meters
EUR_FLOO_000022,35.0,-8.11,1.283,1.486,1.825,0.232,0.301,0.525,flood,meters
EUR_FLOO_000023,35.0,-8.02,1.35,1.573,1.89,0.275,0.301,0.467,flood,meters
EUR_FLOO_000024,35.0,-7.93,1.556,1.884,2.433,0.27,0.383,0.536,flood,meters
EUR_FLOO_000025,35.0,-7.84,1.578,1.862,2.325,0.393,0.353,0.612,flood,meters
EUR_FLOO_000026,35.0,-7.75,1.55,1.878,2.358,0.239,0.333,0.703,flood,meters
EUR_FLOO_000027,35.0,-7.66,1.523,1.902,2.439,0.308,0.429,0.622,flood,meters
EUR_FLOO_000028,35.0,-7.57,1.583,1.962,2.501,0.345,0.326,0.724,flood,meters
EUR_FLOO_000029,35.0,-7.48,1.369,1.674,2.24,0.21,0.295,0.463,flood,meters
EUR_FLOO_000030,35.0,-7.39,1.38,1.716,2.24,0.209,0.275,0.61,flood,meters
EUR_FLOO_000031,35.0,-7.3,1.464,1.722,2.115,0.224,0.399,0.497,flood,meters
EUR_FLOO_000032,35.0,-7.21,1.525,1.797,2.298,0.356,0.272,0.674,flood,meters
EUR_FLOO_000033,35.0,-7.12,1.332,1.66,2.109,0.26,0.334,0.473,flood,meters
EUR_FLOO_000034,35.0,-7.03,1.361,1.674,2.106,0.31,0.277,0.574,flood,meters
EUR_FLOO_000035,35.0,-6.94,1.402,1.686,2.036,0.322,0.353,0.494,flood,meters
EUR_FLOO_000036,35.0,-6.85,1.267,1.521,1.924,0.233,0.355,0.504,flood,meters
EUR_FLOO_000037,35.0,-6.76,1.442,1.756,2.352,0.234,0.425,0.482,flood,meters
EUR_FLOO_000038,35.0,-6.67,1.421,1.641,1.992,0.239,0.267,0.524,flood,meters
EUR_FLOO_000039,35.0,-6.58,1.35,1.676,2.19,0.229,0.356,0.656,flood,meters
EUR_FLOO_000040,35.0,-6.49,1.391,1.659,1.995,0.232,0.324,0.492,flood,meters
EUR_FLOO_000041,35.0,-6.4,1.378,1.686,2.209,0.257,0.275,0.598,flood,meters
EUR_FLOO_000042,35.0,-6.31,1.47,1.785,2.274,0.227,0.311,0.516,flood,meters
EUR_FLOO_000043,35.0,-6.22,1.318,1.562,2.058,0.295,0.32,0.417,flood,meters
EUR_FLOO_000044,35.0,-6.13,1.341,1.591,1.949,0.22,0.383,0.532,flood,meters
EUR_FLOO_000045,35.0,-6.04,1.27,1.531,2.001,0.194,0.355,0.459,flood,meters
EUR_FLOO_000046,35.0,-5.95,1.324,1.58,1.905,0.215,0.252,0.465,flood,meters
EUR_FLOO_000047,35.0,-5.86,1.468,1.784,2.385,0.227,0.44,0.498,flood,meters
EUR_FLOO_000048,35.0,-5.77,1.265,1.501,1.938,0.29,0.358,0.439,flood,meters
EUR_FLOO_000049,35.0,-5.68,1.408,1.756,2.335,0.296,0.377,0.66,flood,meters
EUR_FLOO_000050,35.0,-5.59,1.489,1.859,2.271,0.266,0.356,0.668,flood,meters
EUR_FLOO_000051,35.0,-5.5,1.298,1.587,2.054,0.235,0.354,0.428,flood,meters
EUR_FLOO_000052,35.0,-5.41,1.331,1.657,2.119,0.326,0.392,0.507,flood,meters
EUR_FLOO_000053,35.0,-5.32,1.485,1.834,2.371,0.317,0.32,0.698,flood,meters
EUR_FLOO_000054,35.0,-5.23,1.404,1.697,2.127,0.237,0.387,0.493,flood,meters
