Driver,WIDGET_PRICE,RUNCIBLE_STEEL_PRICE,LABOUR_COST_INDEX,INVESTMENT_RATE,DEPRECIATION_RATE,INTEREST_RATE,TAX_RATE,DSO,INVENTORY_DAYS,DPO
WIDGET_PRICE,0.0100,0.0050,0.0040,0.0060,0.0000,0.0030,0.0020,0.0045,0.0040,0.0035
RUNCIBLE_STEEL_PRICE,0.0050,0.0100,0.0070,0.0020,0.0000,0.0015,0.0010,0.0025,0.0055,0.0050
LABOUR_COST_INDEX,0.0040,0.0070,0.0100,0.0025,0.0000,0.0020,0.0015,0.0030,0.0035,0.0040
INVESTMENT_RATE,0.0060,0.0020,0.0025,0.0100,0.0000,0.0040,0.0030,0.0050,0.0045,0.0040
DEPRECIATION_RATE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
INTEREST_RATE,0.0030,0.0015,0.0020,0.0040,0.0000,0.0100,0.0025,0.0035,0.0030,0.0028
TAX_RATE,0.0020,0.0010,0.0015,0.0030,0.0000,0.0025,0.0050,0.0020,0.0018,0.0015
DSO,0.0045,0.0025,0.0030,0.0050,0.0000,0.0035,0.0020,0.0100,0.0065,0.0055
INVENTORY_DAYS,0.0040,0.0055,0.0035,0.0045,0.0000,0.0030,0.0018,0.0065,0.0100,0.0070
DPO,0.0035,0.0050,0.0040,0.0040,0.0000,0.0028,0.0015,0.0055,0.0070,0.0100
