line_item,units,value
CASH_BETA,CHF,400000
CASH_GAMMA,CHF,360000
CASH_DELTA,CHF,240000
ACCOUNTS_RECEIVABLE_BETA,CHF,320000
ACCOUNTS_RECEIVABLE_GAMMA,CHF,288000
ACCOUNTS_RECEIVABLE_DELTA,CHF,192000
INVENTORY_BETA,CHF,240000
INVENTORY_GAMMA,CHF,216000
INVENTORY_DELTA,CHF,144000
PPE_GROSS_BETA,CHF,2000000
PPE_GROSS_GAMMA,CHF,1800000
PPE_GROSS_DELTA,CHF,1200000
ACCUMULATED_DEPRECIATION_BETA,CHF,-400000
ACCUMULATED_DEPRECIATION_GAMMA,CHF,-360000
ACCUMULATED_DEPRECIATION_DELTA,CHF,-240000
ACCOUNTS_PAYABLE_BETA,CHF,200000
ACCOUNTS_PAYABLE_GAMMA,CHF,180000
ACCOUNTS_PAYABLE_DELTA,CHF,120000
SHORT_TERM_DEBT_BETA,CHF,120000
SHORT_TERM_DEBT_GAMMA,CHF,108000
SHORT_TERM_DEBT_DELTA,CHF,72000
LONG_TERM_DEBT_BETA,CHF,800000
LONG_TERM_DEBT_GAMMA,CHF,720000
LONG_TERM_DEBT_DELTA,CHF,480000
SHARE_CAPITAL_BETA,CHF,400000
SHARE_CAPITAL_GAMMA,CHF,360000
SHARE_CAPITAL_DELTA,CHF,240000
RETAINED_EARNINGS_BETA,CHF,1040000
RETAINED_EARNINGS_GAMMA,CHF,936000
RETAINED_EARNINGS_DELTA,CHF,624000
