peril,archetype,value_type,intensity,damage_factor,unit
FLOOD,Residential,PPE,0,0.00,meters
FLOOD,Residential,PPE,0.5,0.15,meters
FLOOD,Residential,PPE,1.0,0.30,meters
FLOOD,Residential,PPE,1.5,0.50,meters
FLOOD,Residential,PPE,2.0,0.70,meters
FLOOD,Residential,PPE,3.0,0.90,meters
FLOOD,Residential,BI,0,0.00,meters
FLOOD,Residential,BI,0.5,0.10,meters
FLOOD,Residential,BI,1.0,0.25,meters
FLOOD,Residential,BI,1.5,0.45,meters
FLOOD,Residential,BI,2.0,0.65,meters
FLOOD,Residential,BI,3.0,0.85,meters
FLOOD,Commercial,PPE,0,0.00,meters
FLOOD,Commercial,PPE,0.5,0.20,meters
FLOOD,Commercial,PPE,1.0,0.40,meters
FLOOD,Commercial,PPE,1.5,0.60,meters
FLOOD,Commercial,PPE,2.0,0.80,meters
FLOOD,Commercial,PPE,3.0,1.00,meters
FLOOD,Commercial,BI,0,0.00,meters
FLOOD,Commercial,BI,0.5,0.15,meters
FLOOD,Commercial,BI,1.0,0.35,meters
FLOOD,Commercial,BI,1.5,0.55,meters
FLOOD,Commercial,BI,2.0,0.75,meters
FLOOD,Commercial,BI,3.0,0.95,meters
HURRICANE,Residential,PPE,0,0.00,km/h
HURRICANE,Residential,PPE,100,0.05,km/h
HURRICANE,Residential,PPE,150,0.20,km/h
HURRICANE,Residential,PPE,200,0.50,km/h
HURRICANE,Residential,PPE,250,0.80,km/h
HURRICANE,Residential,PPE,300,1.00,km/h
HURRICANE,Commercial,PPE,0,0.00,km/h
HURRICANE,Commercial,PPE,100,0.03,km/h
HURRICANE,Commercial,PPE,150,0.15,km/h
HURRICANE,Commercial,PPE,200,0.40,km/h
HURRICANE,Commercial,PPE,250,0.70,km/h
HURRICANE,Commercial,PPE,300,0.95,km/h
WILDFIRE,Residential,PPE,0,0.00,degrees_C
WILDFIRE,Residential,PPE,500,0.10,degrees_C
WILDFIRE,Residential,PPE,700,0.35,degrees_C
WILDFIRE,Residential,PPE,900,0.70,degrees_C
WILDFIRE,Residential,PPE,1100,0.95,degrees_C
WILDFIRE,Residential,PPE,1300,1.00,degrees_C
FLOOD,Standard,PPE,0,0.00,meters
FLOOD,Standard,PPE,0.5,0.15,meters
FLOOD,Standard,PPE,1.0,0.30,meters
FLOOD,Standard,PPE,1.5,0.50,meters
FLOOD,Standard,PPE,2.0,0.70,meters
FLOOD,Standard,PPE,3.0,0.90,meters
FLOOD,Standard,BI,0,0.00,meters
FLOOD,Standard,BI,0.5,0.10,meters
FLOOD,Standard,BI,1.0,0.25,meters
FLOOD,Standard,BI,1.5,0.45,meters
FLOOD,Standard,BI,2.0,0.65,meters
FLOOD,Standard,BI,3.0,0.85,meters
HURRICANE,Standard,PPE,0,0.00,km/h
HURRICANE,Standard,PPE,100,0.05,km/h
HURRICANE,Standard,PPE,150,0.20,km/h
HURRICANE,Standard,PPE,200,0.50,km/h
HURRICANE,Standard,PPE,250,0.80,km/h
HURRICANE,Standard,PPE,300,1.00,km/h
WILDFIRE,Standard,PPE,0,0.00,degrees_C
WILDFIRE,Standard,PPE,500,0.10,degrees_C
WILDFIRE,Standard,PPE,700,0.35,degrees_C
WILDFIRE,Standard,PPE,900,0.70,degrees_C
WILDFIRE,Standard,PPE,1100,0.95,degrees_C
WILDFIRE,Standard,PPE,1300,1.00,degrees_C
