Scenario,Option,DriverName,Units,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30
1,Middle_Road,WIDGET_PRICE,CHF,1.03,1.0609,1.092727,1.1255088100000001,1.1592740743,1.1940522965290001,1.2298738654248702,1.2667700813876164,1.304773183829245,1.3439163793441222,1.384233870724446,1.4257608868461793,1.4685337134515648,1.512589724855112,1.5579674166007653,1.6047064390987884,1.652847632271752,1.7024330612399046,1.7535060530771018,1.806111234669415,1.8602945717094976,1.9161034088607827,1.9735865111266062,2.0327941064604045,2.0937779296542165,2.1565912675438432,2.2212890055701586,2.2879276757372633,2.3565655060093813,2.4272624711896627
1,Middle_Road,RUNCIBLE_STEEL_PRICE,CHF,1.02,1.0404,1.061208,1.08243216,1.1040808032,1.126162419264,1.14868566764928,1.1716593810022657,1.195092568622311,1.2189944199947573,1.2433743083946525,1.2682417945625455,1.2936066304537963,1.3194787630628724,1.3458683383241299,1.3727857050906125,1.4002414191924248,1.4282462475762734,1.4568111725277988,1.485947395978355,1.515666343897922,1.5459796707758806,1.5768992641913981,1.6084372494752261,1.6406059944647307,1.6734181143540252,1.7068864766411058,1.741024206173928,1.7758446902974065,1.8113615841033548
1,Middle_Road,LABOUR_COST_INDEX,CHF,1.02,1.0404,1.061208,1.08243216,1.1040808032,1.126162419264,1.14868566764928,1.1716593810022657,1.195092568622311,1.2189944199947573,1.2433743083946525,1.2682417945625455,1.2936066304537963,1.3194787630628724,1.3458683383241299,1.3727857050906125,1.4002414191924248,1.4282462475762734,1.4568111725277988,1.485947395978355,1.515666343897922,1.5459796707758806,1.5768992641913981,1.6084372494752261,1.6406059944647307,1.6734181143540252,1.7068864766411058,1.741024206173928,1.7758446902974065,1.8113615841033548
1,Middle_Road,INVESTMENT_RATE,CHF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,Middle_Road,DEPRECIATION_RATE,CHF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,Middle_Road,INTEREST_RATE,CHF,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
1,Middle_Road,TAX_RATE,CHF,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,Middle_Road,DSO,CHF,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
1,Middle_Road,INVENTORY_DAYS,CHF,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
1,Middle_Road,DPO,CHF,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
2,Optimistic,WIDGET_PRICE,CHF,1.08,1.1653200000000001,1.2562149600000003,1.3529435119200004,1.4557672188259205,1.5649497602378646,1.6807560424954666,1.8034512335976356,1.9332997224166655,2.070564002708249,2.215503482897826,2.368373223217776,2.529422602396585,2.698893916757156,2.8770209152631283,3.0640272747552313,3.2601250203395664,3.4655128966209587,3.6803746962114583,3.904877552680357,4.139170205841179,4.383381247985808,4.637617360368985,4.901961549910017,5.1764713967049785,5.461177323523752,5.756080898994035,6.061153186640718,6.376333152346036,6.701526143115683
2,Optimistic,RUNCIBLE_STEEL_PRICE,CHF,1.01,1.0201,1.030301,1.04060401,1.0510100501,1.061520150601,1.0721353521070098,1.08285670562808,1.0936852726843609,1.1046221254112045,1.1156683466653166,1.1268250301319698,1.1380932804332895,1.1494742132376223,1.1609689553699987,1.1725786449236986,1.1843044313729356,1.196147475686665,1.2081089504435316,1.220190039947967,1.2323919403474468,1.2447158597509214,1.2571630183484306,1.269734648531915,1.282431995017234,1.2952563149674063,1.3082088781170804,1.3212909668982513,1.334503876567234,1.3478489153329063
2,Optimistic,LABOUR_COST_INDEX,CHF,1.01,1.0201,1.030301,1.04060401,1.0510100501,1.061520150601,1.0721353521070098,1.08285670562808,1.0936852726843609,1.1046221254112045,1.1156683466653166,1.1268250301319698,1.1380932804332895,1.1494742132376223,1.1609689553699987,1.1725786449236986,1.1843044313729356,1.196147475686665,1.2081089504435316,1.220190039947967,1.2323919403474468,1.2447158597509214,1.2571630183484306,1.269734648531915,1.282431995017234,1.2952563149674063,1.3082088781170804,1.3212909668982513,1.334503876567234,1.3478489153329063
