peril,archetype,value_type,intensity,damage_factor,unit
FLOOD,Residential,PPE,0,0.00,meters
FLOOD,Residential,PPE,0.5,0.15,meters
FLOOD,Residential,PPE,1.0,0.30,meters
FLOOD,Residential,PPE,1.5,0.50,meters
FLOOD,Residential,PPE,2.0,0.70,meters
FLOOD,Residential,PPE,3.0,0.90,meters
FLOOD,Residential,Inventory,0,0.00,meters
FLOOD,Residential,Inventory,0.5,0.10,meters
FLOOD,Residential,Inventory,1.0,0.25,meters
FLOOD,Residential,Inventory,1.5,0.45,meters
FLOOD,Residential,Inventory,2.0,0.65,meters
FLOOD,Residential,Inventory,3.0,0.85,meters
FLOOD,Commercial,PPE,0,0.00,meters
FLOOD,Commercial,PPE,0.5,0.20,meters
FLOOD,Commercial,PPE,1.0,0.40,meters
FLOOD,Commercial,PPE,1.5,0.60,meters
FLOOD,Commercial,PPE,2.0,0.80,meters
FLOOD,Commercial,PPE,3.0,1.00,meters
FLOOD,Commercial,Inventory,0,0.00,meters
FLOOD,Commercial,Inventory,0.5,0.15,meters
FLOOD,Commercial,Inventory,1.0,0.35,meters
FLOOD,Commercial,Inventory,1.5,0.55,meters
FLOOD,Commercial,Inventory,2.0,0.75,meters
FLOOD,Commercial,Inventory,3.0,0.95,meters
STORM,Residential,PPE,0,0.00,km/h
STORM,Residential,PPE,100,0.05,km/h
STORM,Residential,PPE,150,0.20,km/h
STORM,Residential,PPE,200,0.50,km/h
STORM,Residential,PPE,250,0.80,km/h
STORM,Residential,PPE,300,1.00,km/h
STORM,Commercial,PPE,0,0.00,km/h
STORM,Commercial,PPE,100,0.03,km/h
STORM,Commercial,PPE,150,0.15,km/h
STORM,Commercial,PPE,200,0.40,km/h
STORM,Commercial,PPE,250,0.70,km/h
STORM,Commercial,PPE,300,0.95,km/h
WILDFIRE,Residential,PPE,0,0.00,degrees_C
WILDFIRE,Residential,PPE,500,0.10,degrees_C
WILDFIRE,Residential,PPE,700,0.35,degrees_C
WILDFIRE,Residential,PPE,900,0.70,degrees_C
WILDFIRE,Residential,PPE,1100,0.95,degrees_C
WILDFIRE,Residential,PPE,1300,1.00,degrees_C
FLOOD,Standard,PPE,0,0.00,meters
FLOOD,Standard,PPE,0.5,0.15,meters
FLOOD,Standard,PPE,1.0,0.30,meters
FLOOD,Standard,PPE,1.5,0.50,meters
FLOOD,Standard,PPE,2.0,0.70,meters
FLOOD,Standard,PPE,3.0,0.90,meters
FLOOD,Standard,Inventory,0,0.00,meters
FLOOD,Standard,Inventory,0.5,0.10,meters
FLOOD,Standard,Inventory,1.0,0.25,meters
FLOOD,Standard,Inventory,1.5,0.45,meters
FLOOD,Standard,Inventory,2.0,0.65,meters
FLOOD,Standard,Inventory,3.0,0.85,meters
STORM,Standard,PPE,0,0.00,km/h
STORM,Standard,PPE,100,0.05,km/h
STORM,Standard,PPE,150,0.20,km/h
STORM,Standard,PPE,200,0.50,km/h
STORM,Standard,PPE,250,0.80,km/h
STORM,Standard,PPE,300,1.00,km/h
WILDFIRE,Standard,PPE,0,0.00,degrees_C
WILDFIRE,Standard,PPE,500,0.10,degrees_C
WILDFIRE,Standard,PPE,700,0.35,degrees_C
WILDFIRE,Standard,PPE,900,0.70,degrees_C
WILDFIRE,Standard,PPE,1100,0.95,degrees_C
WILDFIRE,Standard,PPE,1300,1.00,degrees_C
HAIL,Standard,PPE,0,0.00,cm
HAIL,Standard,PPE,2,0.10,cm
HAIL,Standard,PPE,4,0.30,cm
HAIL,Standard,PPE,6,0.60,cm
HAIL,Standard,PPE,8,0.85,cm
HAIL,Standard,PPE,10,1.00,cm
HAIL,Standard,Inventory,0,0.00,cm
HAIL,Standard,Inventory,2,0.05,cm
HAIL,Standard,Inventory,4,0.20,cm
HAIL,Standard,Inventory,6,0.45,cm
HAIL,Standard,Inventory,8,0.70,cm
HAIL,Standard,Inventory,10,0.90,cm
HAIL,Residential,PPE,0,0.00,cm
HAIL,Residential,PPE,2,0.15,cm
HAIL,Residential,PPE,4,0.35,cm
HAIL,Residential,PPE,6,0.65,cm
HAIL,Residential,PPE,8,0.90,cm
HAIL,Residential,PPE,10,1.00,cm
HAIL,Residential,Inventory,0,0.00,cm
HAIL,Residential,Inventory,2,0.08,cm
HAIL,Residential,Inventory,4,0.25,cm
HAIL,Residential,Inventory,6,0.50,cm
HAIL,Residential,Inventory,8,0.75,cm
HAIL,Residential,Inventory,10,0.95,cm
HAIL,Commercial,PPE,0,0.00,cm
HAIL,Commercial,PPE,2,0.12,cm
HAIL,Commercial,PPE,4,0.35,cm
HAIL,Commercial,PPE,6,0.65,cm
HAIL,Commercial,PPE,8,0.88,cm
HAIL,Commercial,PPE,10,1.00,cm
HAIL,Commercial,Inventory,0,0.00,cm
HAIL,Commercial,Inventory,2,0.08,cm
HAIL,Commercial,Inventory,4,0.25,cm
HAIL,Commercial,Inventory,6,0.50,cm
HAIL,Commercial,Inventory,8,0.75,cm
HAIL,Commercial,Inventory,10,0.95,cm
