Scenario,Option,DriverName,Units,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30
1,Middle_Road,WIDGET_PRICE,CHF,1.0300,1.0300,1.0300,1.0300,1.0300,1.0300,1.0300,1.0300,1.0300,1.0300,1.0300,1.0300,1.0300,1.0300,1.0300,1.0300,1.0300,1.0300,1.0300,1.0300,1.0300,1.0300,1.0300,1.0300,1.0300,1.0300,1.0300,1.0300,1.0300,1.0300
1,Middle_Road,RUNCIBLE_STEEL_PRICE,CHF,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200
1,Middle_Road,LABOUR_COST_INDEX,CHF,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200
1,Middle_Road,INVESTMENT_RATE,CHF,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1,Middle_Road,DEPRECIATION_RATE,CHF,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1,Middle_Road,INTEREST_RATE,CHF,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1,Middle_Road,TAX_RATE,CHF,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500
1,Middle_Road,DSO,CHF,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
1,Middle_Road,INVENTORY_DAYS,CHF,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
1,Middle_Road,DPO,CHF,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
2,Optimistic,WIDGET_PRICE,CHF,1.0800,1.0790,1.0780,1.0770,1.0760,1.0750,1.0740,1.0730,1.0720,1.0710,1.0700,1.0690,1.0680,1.0670,1.0660,1.0650,1.0640,1.0630,1.0620,1.0610,1.0600,1.0590,1.0580,1.0570,1.0560,1.0550,1.0540,1.0530,1.0520,1.0510
2,Optimistic,RUNCIBLE_STEEL_PRICE,CHF,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100
2,Optimistic,LABOUR_COST_INDEX,CHF,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100
2,Optimistic,INVESTMENT_RATE,CHF,1.1500,1.1500,1.1500,1.1500,1.1500,1.1000,1.1000,1.1000,1.1000,1.1000,1.0500,1.0500,1.0500,1.0500,1.0500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
2,Optimistic,DEPRECIATION_RATE,CHF,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
2,Optimistic,INTEREST_RATE,CHF,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500
2,Optimistic,TAX_RATE,CHF,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200
2,Optimistic,DSO,CHF,45.0,44.5,44.0,43.5,43.0,42.5,42.0,41.5,41.0,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5
2,Optimistic,INVENTORY_DAYS,CHF,60.0,59.0,58.0,57.0,56.0,55.0,54.0,53.0,52.0,51.0,50.0,49.0,48.0,47.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
2,Optimistic,DPO,CHF,30.0,31.5,33.0,34.5,36.0,37.5,39.0,40.5,42.0,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5
3,Pessimistic,WIDGET_PRICE,CHF,0.9700,0.9710,0.9720,0.9730,0.9740,0.9750,0.9760,0.9770,0.9780,0.9790,0.9800,0.9810,0.9820,0.9830,0.9840,0.9850,0.9860,0.9870,0.9880,0.9890,0.9900,0.9910,0.9920,0.9930,0.9940,0.9950,0.9960,0.9970,0.9980,0.9990
3,Pessimistic,RUNCIBLE_STEEL_PRICE,CHF,1.0800,1.0805,1.0810,1.0815,1.0820,1.0825,1.0830,1.0835,1.0840,1.0845,1.0850,1.0855,1.0860,1.0865,1.0870,1.0875,1.0880,1.0885,1.0890,1.0895,1.0900,1.0905,1.0910,1.0915,1.0920,1.0925,1.0930,1.0935,1.0940,1.0945
3,Pessimistic,LABOUR_COST_INDEX,CHF,1.0500,1.0500,1.0500,1.0500,1.0500,1.0500,1.0500,1.0500,1.0500,1.0500,1.0500,1.0500,1.0500,1.0500,1.0500,1.0500,1.0500,1.0500,1.0500,1.0500,1.0500,1.0500,1.0500,1.0500,1.0500,1.0500,1.0500,1.0500,1.0500,1.0500
3,Pessimistic,INVESTMENT_RATE,CHF,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500
3,Pessimistic,DEPRECIATION_RATE,CHF,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
3,Pessimistic,INTEREST_RATE,CHF,1.1500,1.1550,1.1600,1.1650,1.1700,1.1750,1.1800,1.1850,1.1900,1.1950,1.1950,1.1950,1.1950,1.1950,1.1950,1.1950,1.1950,1.1950,1.1950,1.1950,1.1950,1.1950,1.1950,1.1950,1.1950,1.1950,1.1950,1.1950,1.1950,1.1950
3,Pessimistic,TAX_RATE,CHF,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800
3,Pessimistic,DSO,CHF,45.0,46.5,48.0,49.5,51.0,52.5,54.0,55.5,57.0,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5
3,Pessimistic,INVENTORY_DAYS,CHF,60.0,62.0,64.0,66.0,68.0,70.0,72.0,74.0,76.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0
3,Pessimistic,DPO,CHF,30.0,29.0,28.0,27.0,26.0,25.0,24.0,23.0,22.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
