line_item,units,value
REVENUE_BETA,CHF,2000000
REVENUE_GAMMA,CHF,1800000
REVENUE_DELTA,CHF,1200000
COGS_BETA,CHF,-800000
COGS_GAMMA,CHF,-720000
COGS_DELTA,CHF,-480000
OPERATING_EXPENSES_BETA,CHF,-600000
OPERATING_EXPENSES_GAMMA,CHF,-540000
OPERATING_EXPENSES_DELTA,CHF,-360000
DEPRECIATION_BETA,CHF,-80000
DEPRECIATION_GAMMA,CHF,-72000
DEPRECIATION_DELTA,CHF,-48000
INTEREST_EXPENSE_BETA,CHF,-40000
INTEREST_EXPENSE_GAMMA,CHF,-36000
INTEREST_EXPENSE_DELTA,CHF,-24000
TAX_EXPENSE_BETA,CHF,-120000
TAX_EXPENSE_GAMMA,CHF,-108000
TAX_EXPENSE_DELTA,CHF,-72000
