ID,PortfolioAsset,Option,Region,Division,Unit,PPE,Inventory,Archetype,Lat,Long
1,1,Main,CH,B,CHF,1200000,850000,Standard,47.3769,8.5417
2,1,Main,CH,B,CHF,950000,720000,Standard,46.5197,6.6323
3,1,Main,CH,B,CHF,1100000,780000,Standard,46.8508,9.531
4,1,Main,CH,B,CHF,1350000,920000,Standard,47.5596,7.5886
5,1,Main,CH,B,CHF,1050000,740000,Standard,46.2044,6.1432
6,1,Main,UK,C,CHF,1150000,800000,Standard,53.4808,-2.2426
7,1,Main,UK,C,CHF,980000,690000,Standard,50.7184,-3.5339
8,1,Main,UK,C,CHF,1400000,950000,Standard,51.5074,-0.1278
9,1,Main,UK,C,CHF,1080000,760000,Standard,52.4862,-1.8904
10,1,Main,UK,C,CHF,1220000,870000,Standard,53.8008,-1.5491
11,1,Main,DE,D,CHF,1180000,820000,Standard,52.5200,13.4050
12,1,Main,DE,D,CHF,1250000,880000,Standard,48.1351,11.5820
13,1,Main,DE,D,CHF,1020000,710000,Standard,50.1109,8.6821
14,1,Main,DE,D,CHF,1130000,790000,Standard,51.2277,6.7735
15,1,Main,DE,D,CHF,1300000,910000,Standard,53.5511,9.9937
